Time-(UTC),Latitude-(degN),Longitude-(degE),Secchi-depth-(m),FU-(disk-1/2-Secchi-depth)
2024-04-24 13:42:57.328,32.74458526944778,-79.97136104471952,1.01,18
2024-04-24 14:06:23.736,32.668402944721905,-79.9974313751608,0.66,13
2024-04-24 14:23:38.198,32.660330878601094,-79.9435115140676,0.57,6
2024-04-24 14:51:35.877,32.7168340494955,-79.93058425968471,0.53,18
2024-04-24 15:18:05.962,32.788317762345805,-79.96332591406997,0.68,17
2024-04-24 15:21:48.411,32.76316695998748,-79.85596917358764,0.54,15
2024-04-27 16:44:50.644,34.24865979863079,-77.79064349149408,1.22,15
2024-04-28 20:23:27.441,28.934324098707727,-80.8295318260705,0.9,13
2024-04-30 11:54:42.896,27.07484382834147,-82.44865838448216,1.99,12
2024-05-01 12:04:52.596,32.79335679489448,-79.87638956874598,0.61,15
2024-05-01 12:16:21.671,32.79045067844442,-79.88491773144025,1.05,15
2024-05-01 12:27:51.005,32.789871392009736,-79.91075936025459,1.05,15
2024-05-01 12:37:00.658,32.835351973802624,-79.98679800897833,0.46,17
2024-05-01 12:40:01.267,32.824201028081355,-79.88982359994688,0.86,17
2024-05-01 12:51:22.685,32.825209234698804,-79.87742620064088,0.65,16
2024-05-01 13:04:09.587,32.767168628082395,-79.97272856540975,0.51,17
2024-05-01 13:20:38.578,32.74455416950653,-79.9712061603367,0.66,18
2024-05-01 13:31:08.264,32.771673398122985,-79.92468735210592,1.1,18
2024-05-01 13:31:49.059,32.77167807474977,-79.92476782213997,0.94,18
2024-05-01 13:41:59.874,32.776607131020796,-79.95336990205487,0.92,18
2024-05-01 13:44:54.776,32.66841643958601,-79.99762977480889,0.69,16
2024-05-01 13:55:12.509,32.750902413683576,-79.95039063201854,0.76,18
2024-05-01 14:02:53.151,32.66031818001779,-79.94350187487895,0.37,13
2024-05-01 14:27:07.061,32.76290416720588,-79.85601511233162,0.86,15
2024-05-01 14:30:06.640,32.71874776122126,-79.93163849337996,0.41,13
2024-05-03 18:49:00.357,33.91691540359878,-78.02346726973232,0.99,18
2024-05-07 20:43:30.642,38.15654113426647,-76.4274564386126,0.24,14
2024-05-08 11:50:41.108,32.79298795323058,-79.8768906066087,0.67,13
2024-05-08 12:02:00.923,32.79043603751786,-79.8847784159782,0.85,14
2024-05-08 12:18:17.735,32.7901907015282,-79.91078170637648,2.54,13
2024-05-08 12:31:37.306,32.82524097725306,-79.8780126602225,0.77,15
2024-05-08 12:39:58.626,32.825210070188355,-79.87700613404489,0.64,15
2024-05-08 12:58:22.079,32.85532285916419,-79.90141062397838,0.98,14
2024-05-08 13:17:40.510,32.77201413542188,-79.92407020053145,0.77,15
2024-05-08 13:27:08.303,32.77631098484253,-79.95325361805166,0.96,18
2024-05-08 13:42:00.992,32.78821234082465,-79.96374547194476,0.62,18
2024-05-08 14:03:17.017,32.75091465362333,-79.9501862243266,0.67,17
2024-05-08 14:17:12.957,32.75514723657426,-79.91565867171748,0.6,14
2024-05-08 14:36:35.939,32.7630213736535,-79.85631524141318,0.73,16
2024-05-15 11:49:23.590,32.792884947406954,-79.87680910995009,0.67,16
2024-05-15 12:31:22.014,32.7902715839751,-79.88474649384607,0.78,18
2024-05-15 12:32:32.958,32.82545421212614,-79.99195629928094,0.32,18
2024-05-15 13:05:35.835,32.76721774603498,-79.97279008857903,0.2,18
2024-05-15 13:18:55.562,32.74450920059601,-79.97115612037477,0.57,16
2024-05-15 14:04:58.252,32.66031830574634,-79.94347061038012,0.52,13
2024-05-15 19:18:01.291,38.15652223307482,-76.42748611054982,0.39,15
2024-05-15 20:42:54.594,29.026836606375547,-80.91895404531955,1.1,15
2024-05-22 12:23:27.297,32.793318699144564,-79.87653432421375,0.84,13
2024-05-22 12:35:25.125,32.790208145888876,-79.88491269656755,0.91,13
2024-05-22 12:53:13.918,32.83528843130428,-79.98674658793246,0.54,18
2024-05-22 13:01:17.749,32.82425031061821,-79.88997012607963,0.9,11
2024-05-22 13:11:17.255,32.825216666290856,-79.87758202485831,0.82,13
2024-05-22 13:19:28.734,30.023577643982556,-81.32765071235016,0.52,17
2024-05-22 13:28:58.380,32.85520535902566,-79.9015579423853,0.79,13
2024-05-22 13:47:23.150,32.77186412832965,-79.92470034405582,1.0,12
2024-05-22 14:15:15.938,32.78826527449539,-79.96355919301071,0.5,16
2024-05-22 14:36:46.406,32.75099396625322,-79.95026708744753,0.5,17
2024-05-22 14:47:49.304,32.75503399519324,-79.91596223159202,0.49,18
2024-05-22 15:06:46.434,32.763007789656385,-79.8561842899561,0.49,11
2024-05-26 23:55:46.611,38.8792394,-77.0458122,0.63,18
2024-05-29 11:59:22.369,32.79311904167936,-79.87658229726549,0.71,17
2024-05-29 12:11:17.597,32.79020506516366,-79.88481172569902,0.82,16
2024-05-29 12:23:04.877,32.7901219495083,-79.91088150933741,1.01,15
2024-05-29 12:36:52.928,32.83534417863268,-79.98675911694764,0.47,16
2024-05-29 12:37:17.112,32.824234130770805,-79.88962478398804,0.69,16
2024-05-29 12:43:25.068,32.8251865358325,-79.87744931170553,0.72,17
2024-05-29 13:01:27.915,32.8554657715074,-79.90153668829689,0.88,16
